ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL
65D141,,Brinco Jasmim,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html,http://s3.amazonaws.com/img.iluria.com/product/65D141/FACF18/450xN.jpg,,Brinco Jasmim,Brinco,29.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html
65D141,,Brinco Jasmim,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html,http://s3.amazonaws.com/img.iluria.com/product/65D141/FACF18/450xN.jpg,,Brinco Jasmim,Brinco,29.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html
65D141,,Brinco Jasmim,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html,http://s3.amazonaws.com/img.iluria.com/product/65D141/FACF18/450xN.jpg,,Brinco Jasmim,Brinco,29.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65d141-brinco-jasmim.html
65D1FB,,Costela De Adão Ouro Velho,http://www.ddivas.com.br/pd-65d1fb-costela-de-adao-ouro-velho.html,http://s3.amazonaws.com/img.iluria.com/product/65D1FB/FAD0E2/450xN.jpg,,Costela De Adão Ouro Velho,Costela,32.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65d1fb-costela-de-adao-ouro-velho.html
65D211,,Brinco Costela De Adão Prata,http://www.ddivas.com.br/pd-65d211-brinco-costela-de-adao-prata.html,http://s3.amazonaws.com/img.iluria.com/product/65D211/FAD121/450xN.jpg,,Brinco Costela De Adão Prata,Brinco,35.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65d211-brinco-costela-de-adao-prata.html
65F998,,Brinco Gota,http://www.ddivas.com.br/pd-65f998-brinco-gota.html,http://s3.amazonaws.com/img.iluria.com/product/65F998/FB3A11/450xN.jpg,,Brinco Gota,Brinco,45.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f998-brinco-gota.html
65F998,,Brinco Gota,http://www.ddivas.com.br/pd-65f998-brinco-gota.html,http://s3.amazonaws.com/img.iluria.com/product/65F998/FB3A11/450xN.jpg,,Brinco Gota,Brinco,45.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f998-brinco-gota.html
65F998,,Brinco Gota,http://www.ddivas.com.br/pd-65f998-brinco-gota.html,http://s3.amazonaws.com/img.iluria.com/product/65F998/FB3A11/450xN.jpg,,Brinco Gota,Brinco,45.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f998-brinco-gota.html
65F998,,Brinco Gota,http://www.ddivas.com.br/pd-65f998-brinco-gota.html,http://s3.amazonaws.com/img.iluria.com/product/65F998/FB3A11/450xN.jpg,,Brinco Gota,Brinco,45.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f998-brinco-gota.html
65F998,,Brinco Gota,http://www.ddivas.com.br/pd-65f998-brinco-gota.html,http://s3.amazonaws.com/img.iluria.com/product/65F998/FB3A11/450xN.jpg,,Brinco Gota,Brinco,45.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f998-brinco-gota.html
