Day	Ad Name	Delivery Status	Delivery Level	Campaign Name	Ad Set Name	Reach	Impressions	Clicks (All)	Unique Link Clicks	Amount Spent (BRL)	CPC (All)	Reporting Starts	Reporting Ends
8/9/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	6	8	0		0.01		8/9/2019	8/9/2019
7/24/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	44	55	0		0.02		7/24/2019	7/24/2019
7/23/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	40	42	0		0.04		7/23/2019	7/23/2019
8/7/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	4	4	0		0.05		8/7/2019	8/7/2019
7/29/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	26	52	0		0.03		7/29/2019	7/29/2019
8/2/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	117	125	7	5	0.24	0.03428571	8/2/2019	8/2/2019
8/4/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	14	17	0		0.03		8/4/2019	8/4/2019
7/31/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	3	6	0		0		7/31/2019	7/31/2019
7/10/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	130	135	9	1	0.3	0.03333333	7/10/2019	7/10/2019
7/20/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	21	28	0		0.07		7/20/2019	7/20/2019
7/18/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	13	16	0		0.04		7/18/2019	7/18/2019
