ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vender individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Produtos agrupados","Aumenta vendas","Venda cruzada","URL externa","Texto do botão",Posição,Marca,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Nome do atributo 3","Valores do atributo 3","Visibilidade do atributo 3","Atributo global 3","Metadado: _wpas_done_all","Metadado: fb_product_description","Metadado: _wc_facebook_sync_enabled","Metadado: fb_visibility","Metadado: _oembed_9eb98e5b1ee208b130c2019d30084b4e","Metadado: _wc_facebook_product_image_source","Metadado: berocket_post_order","Metadado: _oembed_589fb70f15eebb40caab3983d10f96b9","Metadado: fb_product_group_id","Metadado: fb_product_item_id","Metadado: _g_feedback_shortcode_744d3f88180f886d16a5b215c86f0de012b91fff","Metadado: _wp_old_date","Metadado: fb_image","Metadado: woo_ua_product_condition","Metadado: woo_ua_opening_price","Metadado: woo_ua_lowest_price","Metadado: woo_ua_bid_increment","Metadado: woo_ua_auction_end_date","Metadado: woo_ua_auction_start_date","Metadado: woo_ua_auction_type","Metadado: woo_ua_auction_has_started","Metadado: woo_ua_auction_last_activity","Metadado: woo_ua_auction_current_bid","Metadado: woo_ua_auction_current_bider","Metadado: woo_ua_auction_bid_count","Metadado: woo_ua_auction_closed","Metadado: woo_ua_winner_mail_sent"
537,simple,62334,"Sapatilha | Animale Cervera",1,0,visible,"Sapatilha <a href=""https://www.animale.com.br/""><strong>Animale</strong></a> Cervera com estampa floral",,,,taxable,,0,0,,0,1,0.500,30,20,10,1,,,"39,90",Calçados,Animale,"Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-62334-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-62334-4.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-62334-3.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-62334-2.jpeg",,,,,,,,,0,,Tamanho,35,1,1,Material,'--,1,1,Cores,"amarelo, estampado",1,1,1,,,,
543,simple,66062,"Sapatilha | Arezzo",1,0,visible,"Sapatilha <a href=""https://www.arezzo.com.br/""><strong>Arezzo</strong></a> vazada em couro na cor bege.",,,,taxable,,0,0,,0,1,0.500,30,20,10,1,,,"69,90",Calçados,Arezzo,"Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66062-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66062-4.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66062-3.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66062-2.jpeg",,,,,,,,,0,,Tamanho,36,1,1,Material,couro,1,1,Cores,bege,1,1,1,,,,
544,simple,64215,"Blusa Beijinho | Ateen",1,0,visible,"Blusa de malha fria com estampa de beijinho estilo nadador da marca <strong>Ateen.</strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,,"44,90","Roupas > Blusas / Camisas",Ateen,"Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64215f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64215c.jpeg",,,,,,,,,0,,Tamanho,P,1,1,Material,'--,1,1,Cores,"azul marinho, estampado",1,1,1,,,,
551,simple,64035,"Blusa listras | Ateen",1,0,visible,"Blusa de alcinha com listras azul marinho e brancas da marca <strong>Ateen.</strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,,"69,90","Roupas > Blusas / Camisas",Ateen,,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64035f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-64035c.jpeg",,,,,,,,,0,,Tamanho,38,1,1,Material,'--,1,1,Cores,listrado,1,1,1,,,,
554,simple,60346,"Blusa Polo azul | Tommy Hilfiger",1,0,visible,"Blusa polo na cor azul da marca <strong>Tommy Hilfiger.</strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,,"44,90","Roupas > Blusas / Camisas","Tommy Hilfiger",,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60346f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60346c.jpeg",,,,,,,,,0,"Tommy Hilfiger",Tamanho,G,1,1,Material,'--,1,1,Cores,azul,1,1,1,,,,
555,simple,66182,"Sandália | Schutz",1,0,visible,"Sandália <a href=""https://www.schutz.com.br/""><strong>Schutz</strong></a> de tiras em couro.",,,,taxable,,0,0,,0,1,0.500,30,20,10,1,,,150,Calçados,Schutz,,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66182-1-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66182-2-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66182-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66182-2.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66182-3.jpeg",,,,,,,,,0,,Tamanho,34,1,1,Material,couro,1,1,Cores,nude,1,1,1,,,,
558,simple,60683,"Blusa plissada | Armani",1,0,visible,"Blusa plissada na cor azul da marca <strong>Armani. </strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,,"59,90","Roupas > Blusas / Camisas",Armani,,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60683f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-60683c.jpeg",,,,,,,,,0,,Tamanho,P,1,1,Material,'--,1,1,Cores,azul,1,1,1,,,,
561,simple,61923,"Cropped com decote nas costas | Botswana",1,0,visible,"Cropped azul com viés em limão com grande decote nas costas da marca Botswana.",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,,"39,90","Roupas > Blusas / Camisas",Botswana,,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-61923f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-61923c.jpeg",,,,,,,,,0,,Tamanho,P,1,1,Material,'--,1,1,Cores,"azul marinho",1,1,1,,,,
565,simple,66054,"Scarpin | Schutz",1,0,visible,"Scapin da marca <a href=""https://www.schutz.com.br/""><strong>Schutz</strong></a> em couro vazado com solado também em couro.",,,,taxable,,0,0,,0,1,0.500,30,20,10,1,,,120,Calçados,Schutz,,"http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66054-1.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66054-4.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66054-3.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-66054-2.jpeg",,,,,,,,,0,,Tamanho,37,1,1,Material,couro,1,1,Cores,nude,1,1,1,,,,
568,simple,63351,"Blusa manga de renda | Mary Zaide",1,0,visible,"Blusa azul com detalhe da manga em renda, da marca <strong>Mary Zaide.</strong>",,,,taxable,,0,0,,0,1,0.200,16,11,2,1,,"44,91","49,9","Roupas > Blusas / Camisas, OUTLET","black-friday, Mary Zaide","Embalagem Normal","http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-63351f.jpeg, http://brechofashioncarioca.com.br/wp-content/uploads/2019/01/bfc-63351c.jpeg",,,,,,,,,0,"Mary Zaide",Tamanho,P,1,1,Material,'--,1,1,Cores,azul,1,1,1,,,,
